Gene.Name	Approved.Name	Hugo.Gene.Family	HPRD.Function	nodeType	Domains	Compartment	Compartment.Overview
CHRND	cholinergic receptor nicotinic delta subunit	Cholinergic receptors nicotinic subunits	Receptor activity (GO:0004872)	membrane protein	TM	plasma membrane; channel	plasma.membrane
CHRNE	cholinergic receptor nicotinic epsilon subunit	Cholinergic receptors nicotinic subunits	Extracellular ligand-gated ion channel activity (GO:0005230)	membrane protein	TM	plasma membrane; channel	plasma.membrane
CHRNG	cholinergic receptor nicotinic gamma subunit	Cholinergic receptors nicotinic subunits	Extracellular ligand-gated ion channel activity (GO:0005230)	membrane protein	TM	plasma membrane	plasma.membrane
CHST1	carbohydrate (keratan sulfate Gal-6) sulfotransferase 1	Sulfotransferases, membrane-bound	Sulfotransferase activity (GO:0008146)	membrane protein	TM	Golgi	ER.Golgi
CHST10	carbohydrate sulfotransferase 10	Sulfotransferases, membrane-bound	Sulfotransferase activity (GO:0008146)	membrane protein	TM	Golgi	ER.Golgi
CHST11	carbohydrate (chondroitin 4) sulfotransferase 11	Sulfotransferases, membrane-bound	Sulfotransferase activity (GO:0008146)	membrane protein	TM	Golgi	ER.Golgi
CHST12	carbohydrate (chondroitin 4) sulfotransferase 12	Sulfotransferases, membrane-bound	Sulfotransferase activity (GO:0008146)	membrane protein	TM	Golgi	ER.Golgi
CHST13	carbohydrate (chondroitin 4) sulfotransferase 13	Sulfotransferases, membrane-bound	Sulfotransferase activity (GO:0008146)	membrane protein	TM	Golgi	ER.Golgi
CHST14	carbohydrate sulfotransferase 14	Sulfotransferases, membrane-bound	Sulfotransferase activity (GO:0008146)	membrane protein	TM	Golgi	ER.Golgi
CHST15	carbohydrate (N-acetylgalactosamine 4-sulfate 6-O) sulfotransferase 15	Sulfotransferases, membrane-bound	Sulfotransferase activity (GO:0008146)	membrane protein	TM	Golgi	ER.Golgi
CHST2	carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2	Sulfotransferases, membrane-bound	Sulfotransferase activity (GO:0008146)	membrane protein	TM	Golgi	ER.Golgi
CHST3	carbohydrate (chondroitin 6) sulfotransferase 3	Sulfotransferases, membrane-bound	Sulfotransferase activity (GO:0008146)	membrane protein	TM	Golgi	ER.Golgi
CHST4	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 4	Sulfotransferases, membrane-bound	Sulfotransferase activity (GO:0008146)	membrane protein	TM	Golgi	ER.Golgi
CHST5	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 5	Sulfotransferases, membrane-bound	Sulfotransferase activity (GO:0008146)	membrane protein	undefined	Golgi	ER.Golgi
CHST6	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 6	Sulfotransferases, membrane-bound	Sulfotransferase activity (GO:0008146)	membrane protein	undefined	Golgi	ER.Golgi
CHST7	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 7	Sulfotransferases, membrane-bound	Sulfotransferase activity (GO:0008146)	membrane protein	TM	Golgi	ER.Golgi
CHST8	carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 8	Sulfotransferases, membrane-bound	Sulfotransferase activity (GO:0008146)	membrane protein	TM	undefined	undefined
CHST9	carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 9	Sulfotransferases, membrane-bound	Sulfotransferase activity (GO:0008146)	membrane protein	TM	Golgi	ER.Golgi
CHSY1	chondroitin sulfate synthase 1	Beta 3-glycosyltransferases|Beta 4-glycosyltransferases	Transferase activity (GO:0016740)	membrane protein	TM	Golgi	ER.Golgi
CHSY3	chondroitin sulfate synthase 3	Beta 3-glycosyltransferases|Beta 4-glycosyltransferases	Transferase activity (GO:0016740)	membrane protein	TM	Golgi	ER.Golgi
CHTF18	chromosome transmission fidelity factor 18	AAA ATPases (ATPases associated with diverse cellular activities)	DNA binding (GO:0003677)	undefined	AAA	nucleus	nucleus
CHTF8	chromosome transmission fidelity factor 8	undefined	Protein binding (GO:0005515)	undefined	undefined	undefined	plasma.membrane
CHTOP	chromatin target of PRMT1	undefined	undefined	undefined	undefined	nucleus; transcription	RNA.associated
CHUK	conserved helix-loop-helix ubiquitous kinase	undefined	Protein serine/threonine kinase activity (GO:0004674)	kinase	S_T_kinase	nucleus; cytosol	nucleus
CHURC1	churchill domain containing 1	undefined	Transcription regulator activity (GO:0030528)	transcription factor	undefined	undefined	undefined
CIAO1	cytosolic iron-sulfur assembly component 1	WD repeat domain containing|Cytosolic iron-sulfur assembly components	Transcription regulator activity (GO:0030528)	undefined	WD40	cytosol; cytoskeleton; microtubules	cytoskeleton
CIAPIN1	cytokine induced apoptosis inhibitor 1	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	nucleus; nucleolus	nucleus
CIART	circadian associated repressor of transcription	undefined	undefined	undefined	undefined	undefined	undefined
CIB1	calcium and integrin binding 1	EF-hand domain containing	Calcium ion binding (GO:0005509)	undefined	EF	nucleus; cytoskeleton; microtubules; plasma membrane	cytoskeleton
CIB2	calcium and integrin binding family member 2	EF-hand domain containing	Calcium ion binding (GO:0005509)	undefined	EF	undefined	plasma.membrane
CIB3	calcium and integrin binding family member 3	EF-hand domain containing	Calcium ion binding (GO:0005509)	undefined	EF	undefined	undefined
CIB4	calcium and integrin binding family member 4	EF-hand domain containing	Calcium ion binding (GO:0005509)	undefined	EF	undefined	undefined
CIC	capicua transcriptional repressor	undefined	Transcription factor activity (GO:0003700)	transcription factor	HMG	undefined	undefined
CIDEA	cell death-inducing DFFA-like effector a	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
CIDEB	cell death-inducing DFFA-like effector b	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	cytosol	undefined
CIDEC	cell death inducing DFFA like effector c	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	cytosol; endoplasmic reticulum	ER.Golgi
CIITA	class II, major histocompatibility complex, transactivator	NLR family	Transcription regulator activity (GO:0030528)	transcription regulator	LRR	nucleus	nucleus
CILP	cartilage intermediate layer protein	Immunoglobulin-like domain containing	Extracellular matrix structural constituent (GO:0005201)	undefined	TSP1, IGC2	undefined	plasma.membrane
CILP2	cartilage intermediate layer protein 2	Immunoglobulin-like domain containing	Molecular function unknown (GO:0005554)	undefined	TSP1, IGC2	undefined	plasma.membrane
CINP	cyclin-dependent kinase 2 interacting protein	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
CIPC	CLOCK-interacting pacemaker	undefined	undefined	undefined	undefined	undefined	undefined
CIR1	corepressor interacting with RBPJ, 1	undefined	Transcription regulator activity (GO:0030528)	undefined	undefined	nucleus; chromatin; cytoskeleton; microtubules	cytoskeleton
CIRBP	cold inducible RNA binding protein	RNA binding motif containing	RNA binding (GO:0003723)	RNA processing protein	RRM	nucleus	nucleus
CIRH1A	undefined	undefined	Molecular function unknown (GO:0005554)	undefined	WD40	nucleus; nucleolus	nucleus
CISD1	CDGSH iron sulfur domain 1	CDGSH iron sulfur domain containing	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	plasma.membrane
CISD2	CDGSH iron sulfur domain 2	CDGSH iron sulfur domain containing	Molecular function unknown (GO:0005554)	membrane protein	TM	nucleus; endoplasmic reticulum; mitochondria	ER.Golgi
CISD3	CDGSH iron sulfur domain 3	CDGSH iron sulfur domain containing	Metal ion binding (GO:0046872)	undefined	undefined	undefined	undefined
CISH	cytokine inducible SH2-containing protein	Suppressors of cytokine signaling|SH2 domain containing	Receptor signaling complex scaffold activity (GO:0030159)	SH2 protein	SOCS, SH2	cytosol	undefined
CISTR	undefined	undefined	undefined	undefined	undefined	undefined	undefined
CIT	citron rho-interacting serine/threonine kinase	undefined	Protein serine/threonine kinase activity (GO:0004674)	kinase	C1, PH, CNH, S_T_kinase	cytosol	undefined
CITED1	Cbp/p300-interacting transactivator, with Glu/Asp rich carboxy-terminal domain, 1	undefined	Transcription factor activity (GO:0003700)	transcription factor	undefined	nucleus; cytosol	nucleus
CITED2	Cbp/p300-interacting transactivator, with Glu/Asp rich carboxy-terminal domain, 2	undefined	Transcription regulator activity (GO:0030528)	transcription regulator	undefined	nucleus	nucleus
CITED4	Cbp/p300-interacting transactivator, with Glu/Asp rich carboxy-terminal domain, 4	undefined	Transcription regulator activity (GO:0030528)	undefined	undefined	undefined	undefined
CIZ1	CDKN1A interacting zinc finger protein 1	undefined	DNA binding (GO:0003677)	undefined	ZNFC2	nucleus	nucleus
CKAP2	cytoskeleton associated protein 2	undefined	Cytoskeletal protein binding (GO:0008092)	undefined	undefined	cytoskeleton; microtubules	cytoskeleton
CKAP2L	cytoskeleton associated protein 2 like	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	cytoskeleton; microtubules	cytoskeleton
CKAP4	cytoskeleton-associated protein 4	undefined	Cytoskeletal protein binding (GO:0008092)	membrane protein	TM	nucleus; cytoskeleton; endoplasmic reticulum; plasma membrane	cytoskeleton
CKAP5	cytoskeleton associated protein 5	undefined	Cytoskeletal protein binding (GO:0008092)	undefined	undefined	cytosol; cytoskeleton; microtubules	cytoskeleton
CKB	creatine kinase, brain	undefined	Catalytic activity (GO:0003824)	undefined	undefined	cytosol	plasma.membrane
CKLF	chemokine-like factor	undefined	Chemokine activity (GO:0008009)	membrane protein	TM	undefined	plasma.membrane
CKM	creatine kinase, muscle	undefined	Catalytic activity (GO:0003824)	undefined	undefined	cytosol	undefined
CKMT1A	creatine kinase, mitochondrial 1A	undefined	Transferase activity (GO:0016740)	undefined	undefined	mitochondria	plasma.membrane
CKMT1B	creatine kinase, mitochondrial 1B	undefined	Catalytic activity (GO:0003824)	undefined	undefined	mitochondria	plasma.membrane
CKMT2	creatine kinase, mitochondrial 2	undefined	Catalytic activity (GO:0003824)	undefined	undefined	mitochondria	mitochondria.metabolism
CKS1B	CDC28 protein kinase regulatory subunit 1B	undefined	Protein binding (GO:0005515)	undefined	undefined	nucleus	nucleus
CKS2	CDC28 protein kinase regulatory subunit 2	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
CLASP1	cytoplasmic linker associated protein 1	undefined	Cytoskeletal protein binding (GO:0008092)	undefined	undefined	chromatin; cytosol; cytoskeleton; microtubules; Golgi	cytoskeleton
CLASP2	cytoplasmic linker associated protein 2	undefined	Cytoskeletal protein binding (GO:0008092)	undefined	undefined	chromatin; cytosol; cytoskeleton; microtubules; Golgi; plasma membrane	cytoskeleton
CLASRP	CLK4-associating serine/arginine rich protein	undefined	undefined	undefined	undefined	undefined	undefined
CLC	Charcot-Leyden crystal galectin	Lectins, galactoside-binding	Phospholipase activity (GO:0004620)	undefined	undefined	cytosol	undefined
CLCA1	chloride channel accessory 1	Chloride channel accessory	Auxiliary transport protein activity (GO:0015457)	undefined	VWA	plasma membrane	plasma.membrane
CLCA2	chloride channel accessory 2	Chloride channel accessory	Auxiliary transport protein activity (GO:0015457)	membrane protein	TM, VWA	plasma membrane	plasma.membrane
CLCA3	undefined	undefined	Intracellular ligand-gated ion channel activity (GO:0005217)	undefined	undefined	undefined	undefined
CLCA3P	undefined	undefined	undefined	undefined	undefined	undefined	undefined
CLCA4	chloride channel accessory 4	Chloride channel accessory	Voltage-gated ion channel activity (GO:0005244)	membrane protein	VWA, TM	plasma membrane	plasma.membrane
CLCC1	chloride channel CLIC like 1	undefined	Ion channel activity (GO:0005216)	membrane protein	TM	endoplasmic reticulum	ER.Golgi
CLCF1	cardiotrophin-like cytokine factor 1	undefined	Cytokine activity (GO:0005125)	undefined	undefined	undefined	plasma.membrane
CLCN1	chloride voltage-gated channel 1	Chloride voltage-gated channels	Voltage-gated ion channel activity (GO:0005244)	membrane protein	TM, CBS	plasma membrane	plasma.membrane
CLCN2	chloride voltage-gated channel 2	Chloride voltage-gated channels	Voltage-gated ion channel activity (GO:0005244)	membrane protein	TM, CBS	plasma membrane	plasma.membrane
CLCN3	chloride voltage-gated channel 3	Chloride voltage-gated channels	Voltage-gated ion channel activity (GO:0005244)	membrane protein	TM, CBS	Golgi; plasma membrane; secretion; endosome	endolysosome.system
CLCN4	chloride voltage-gated channel 4	Chloride voltage-gated channels	Voltage-gated ion channel activity (GO:0005244)	membrane protein	TM, CBS	endosome	endolysosome.system
CLCN5	chloride voltage-gated channel 5	Chloride voltage-gated channels	Voltage-gated ion channel activity (GO:0005244)	membrane protein	TM, CBS	plasma membrane; endosome; lysosome	endolysosome.system
CLCN6	chloride voltage-gated channel 6	Chloride voltage-gated channels	Voltage-gated ion channel activity (GO:0005244)	membrane protein	TM, CBS	endosome; lysosome	endolysosome.system
CLCN7	chloride voltage-gated channel 7	Protein phosphatase 1 regulatory subunits|Chloride voltage-gated channels	Voltage-gated ion channel activity (GO:0005244)	membrane protein	TM, CBS	lysosome	endolysosome.system
CLCNKA	chloride voltage-gated channel Ka	Chloride voltage-gated channels	Voltage-gated ion channel activity (GO:0005244)	membrane protein	TM, CBS	plasma membrane	plasma.membrane
CLCNKB	chloride voltage-gated channel Kb	Chloride voltage-gated channels	Voltage-gated ion channel activity (GO:0005244)	membrane protein	TM, CBS	plasma membrane	plasma.membrane
CLDN1	claudin 1	Claudins	Cell adhesion molecule activity (GO:0005194)	membrane protein	TM	plasma membrane	plasma.membrane
CLDN10	claudin 10	Claudins	Molecular function unknown (GO:0005554)	membrane protein	TM	undefined	undefined
CLDN11	claudin 11	Claudins	Cell adhesion molecule activity (GO:0005194)	membrane protein	TM	plasma membrane	plasma.membrane
CLDN12	claudin 12	Claudins	Cell adhesion molecule activity (GO:0005194)	membrane protein	TM	plasma membrane	plasma.membrane
CLDN14	claudin 14	Claudins	Cell adhesion molecule activity (GO:0005194)	membrane protein	TM	endoplasmic reticulum; plasma membrane	ER.Golgi
CLDN15	claudin 15	Claudins	Cell adhesion molecule activity (GO:0005194)	membrane protein	TM	plasma membrane	plasma.membrane
CLDN16	claudin 16	Claudins	Cell adhesion molecule activity (GO:0005194)	membrane protein	TM	plasma membrane	plasma.membrane
CLDN17	claudin 17	Claudins	Cell adhesion molecule activity (GO:0005194)	membrane protein	TM	plasma membrane	plasma.membrane
CLDN18	claudin 18	Claudins	Cell adhesion molecule activity (GO:0005194)	membrane protein	TM	plasma membrane	plasma.membrane
CLDN19	claudin 19	Claudins	Cell adhesion molecule activity (GO:0005194)	membrane protein	TM	plasma membrane	plasma.membrane
CLDN2	claudin 2	Claudins	Cell adhesion molecule activity (GO:0005194)	membrane protein	TM	undefined	plasma.membrane
CLDN20	claudin 20	Claudins	Cell adhesion molecule activity (GO:0005194)	membrane protein	TM	plasma membrane	plasma.membrane
CLDN22	claudin 22	Claudins	Molecular function unknown (GO:0005554)	membrane protein	undefined	undefined	undefined
CLDN23	claudin 23	Claudins	Cell adhesion molecule activity (GO:0005194)	membrane protein	TM	undefined	undefined
CLDN24	claudin 24	Claudins	undefined	membrane protein	undefined	undefined	undefined
CLDN25	claudin 25	Claudins	undefined	membrane protein	undefined	undefined	undefined
CLDN3	claudin 3	Claudins	Cell adhesion molecule activity (GO:0005194)	membrane protein	TM	undefined	undefined
CLDN34	claudin 34	undefined	undefined	undefined	undefined	undefined	undefined
CLDN4	claudin 4	Claudins	Cell adhesion molecule activity (GO:0005194)	membrane protein	TM	undefined	undefined
CLDN5	claudin 5	Claudins	Cell adhesion molecule activity (GO:0005194)	membrane protein	TM	plasma membrane	plasma.membrane
CLDN6	claudin 6	Claudins	Cell adhesion molecule activity (GO:0005194)	membrane protein	TM	undefined	undefined
CLDN7	claudin 7	Claudins	Cell adhesion molecule activity (GO:0005194)	membrane protein	TM	plasma membrane	plasma.membrane
CLDN8	claudin 8	Claudins	Cell adhesion molecule activity (GO:0005194)	membrane protein	TM	endoplasmic reticulum; plasma membrane	ER.Golgi
CLDN9	claudin 9	Claudins	Cell adhesion molecule activity (GO:0005194)	membrane protein	TM	plasma membrane	plasma.membrane
CLDND1	claudin domain containing 1	undefined	Molecular function unknown (GO:0005554)	membrane protein	TM	undefined	undefined
CLDND2	claudin domain containing 2	undefined	Molecular function unknown (GO:0005554)	membrane protein	TM	undefined	undefined
CLEC10A	C-type lectin domain family 10 member A	C-type lectin domain family|CD molecules	Receptor activity (GO:0004872)	membrane protein	LECTIN_C, TM	plasma membrane	plasma.membrane
CLEC11A	C-type lectin domain family 11 member A	C-type lectin domain family	Growth factor activity (GO:0008083)	undefined	LECTIN_C	undefined	plasma.membrane
CLEC12A	C-type lectin domain family 12 member A	C-type lectin domain family|CD molecules	Receptor activity (GO:0004872)	membrane protein	LECTIN_C, TM	undefined	undefined
CLEC12B	C-type lectin domain family 12 member B	C-type lectin domain family	Molecular function unknown (GO:0005554)	membrane protein	LECTIN_C, TM	undefined	undefined
CLEC14A	C-type lectin domain family 14 member A	C-type lectin domain family	Molecular function unknown (GO:0005554)	membrane protein	LECTIN_C, TM	undefined	plasma.membrane
CLEC16A	C-type lectin domain family 16 member A	C-type lectin domain family	Molecular function unknown (GO:0005554)	undefined	undefined	endosome	endolysosome.system
CLEC17A	C-type lectin domain family 17 member A	C-type lectin domain family	Molecular function unknown (GO:0005554)	membrane protein	TM	undefined	undefined
CLEC18A	C-type lectin domain family 18 member A	C-type lectin domain family	Molecular function unknown (GO:0005554)	undefined	EGF, LECTIN_C, SCP	endosome	endolysosome.system
CLEC18B	C-type lectin domain family 18 member B	C-type lectin domain family	Molecular function unknown (GO:0005554)	undefined	EGF, EGFL, LECTIN_C, SCP	endosome	endolysosome.system
CLEC18C	C-type lectin domain family 18 member C	C-type lectin domain family	Molecular function unknown (GO:0005554)	undefined	EGF, LECTIN_C, SCP	endosome	endolysosome.system
CLEC19A	C-type lectin domain family 19 member A	C-type lectin domain family	undefined	undefined	undefined	undefined	undefined
CLEC1A	C-type lectin domain family 1, member A	C-type lectin domain family	Receptor activity (GO:0004872)	membrane protein	LECTIN_C, TM	plasma membrane	plasma.membrane
CLEC1B	C-type lectin domain family 1 member B	C-type lectin domain family	Receptor activity (GO:0004872)	membrane protein	LECTIN_C, TM	plasma membrane	plasma.membrane
CLEC2A	C-type lectin domain family 2 member A	C-type lectin domain family	Molecular function unknown (GO:0005554)	membrane protein	undefined	undefined	undefined
CLEC2B	C-type lectin domain family 2 member B	C-type lectin domain family	Cell adhesion molecule activity (GO:0005194)	membrane protein	LECTIN_C, TM	plasma membrane	plasma.membrane
CLEC2D	C-type lectin domain family 2 member D	C-type lectin domain family	Receptor activity (GO:0004872)	membrane protein	TM, LECTIN_C	endoplasmic reticulum; plasma membrane	ER.Golgi
CLEC2L	C-type lectin domain family 2 member L	C-type lectin domain family	Molecular function unknown (GO:0005554)	membrane protein	LECTIN_C	undefined	undefined
CLEC3A	C-type lectin domain family 3 member A	C-type lectin domain family	Extracellular matrix structural constituent (GO:0005201)	undefined	LECTIN_C	undefined	undefined
CLEC3B	C-type lectin domain family 3 member B	C-type lectin domain family	Molecular function unknown (GO:0005554)	undefined	LECTIN_C	nucleus; nucleolus	plasma.membrane
CLEC4A	C-type lectin domain family 4 member A	C-type lectin domain family|CD molecules	Receptor activity (GO:0004872)	membrane protein	LECTIN_C, TM	plasma membrane	plasma.membrane
CLEC4C	C-type lectin domain family 4 member C	C-type lectin domain family|CD molecules	c("Molecular function unknown (GO:0005554)", "Transporter activity (GO:0005215)")	membrane protein	TM, LECTIN_C	plasma membrane	plasma.membrane
CLEC4D	C-type lectin domain family 4 member D	C-type lectin domain family|CD molecules	Receptor activity (GO:0004872)	membrane protein	TM, LECTIN_C	plasma membrane	plasma.membrane
CLEC4E	C-type lectin domain family 4 member E	C-type lectin domain family	Receptor activity (GO:0004872)	membrane protein	TM, LECTIN_C	plasma membrane	plasma.membrane
CLEC4F	C-type lectin domain family 4 member F	C-type lectin domain family	Receptor activity (GO:0004872)	membrane protein	TM, LECTIN_C	undefined	undefined
CLEC4G	C-type lectin domain family 4 member G	C-type lectin domain family	Receptor activity (GO:0004872)	membrane protein	LECTIN_C, TM	undefined	undefined
CLEC4M	C-type lectin domain family 4 member M	C-type lectin domain family|CD molecules	Cell adhesion molecule activity (GO:0005194)	membrane protein	LECTIN_C, TM	plasma membrane	plasma.membrane
CLEC5A	C-type lectin domain family 5 member A	C-type lectin domain family	Receptor activity (GO:0004872)	membrane protein	TM, LECTIN_C	plasma membrane	plasma.membrane
CLEC6A	C-type lectin domain family 6 member A	C-type lectin domain family	Molecular function unknown (GO:0005554)	membrane protein	LECTIN_C	plasma membrane	plasma.membrane
CLEC7A	C-type lectin domain family 7 member A	C-type lectin domain family|CD molecules	Molecular function unknown (GO:0005554)	membrane protein	LECTIN_C, TM	plasma membrane	plasma.membrane
CLEC9A	C-type lectin domain family 9 member A	C-type lectin domain family|CD molecules	Molecular function unknown (GO:0005554)	membrane protein	LECTIN_C, TM	undefined	undefined
CLECL1	C-type lectin like 1	undefined	Defense/immunity protein activity (GO:0003793)	membrane protein	undefined	undefined	undefined
CLGN	calmegin	undefined	Chaperone activity (GO:0003754)	membrane protein	TM	nucleus; endoplasmic reticulum	ER.Golgi
CLHC1	clathrin heavy chain linker domain containing 1	undefined	undefined	undefined	undefined	undefined	undefined
CLIC1	chloride intracellular channel 1	Chloride intracellular channels	Intracellular ligand-gated ion channel activity (GO:0005217)	membrane protein	undefined	undefined	undefined
CLIC2	chloride intracellular channel 2	Chloride intracellular channels	Intracellular ligand-gated ion channel activity (GO:0005217)	membrane protein	undefined	nucleus	nucleus
CLIC3	chloride intracellular channel 3	Chloride intracellular channels	Intracellular ligand-gated ion channel activity (GO:0005217)	membrane protein	undefined	nucleus	plasma.membrane
CLIC4	chloride intracellular channel 4	Chloride intracellular channels	Intracellular ligand-gated ion channel activity (GO:0005217)	membrane protein	undefined	nucleus; cytosol; cytoskeleton; microtubules; actin; plasma membrane	cytoskeleton
CLIC5	chloride intracellular channel 5	Chloride intracellular channels	Intracellular ligand-gated ion channel activity (GO:0005217)	membrane protein	undefined	cytoskeleton; microtubules; actin; Golgi	cytoskeleton
CLIC6	chloride intracellular channel 6	Chloride intracellular channels	Voltage-gated ion channel activity (GO:0005244)	membrane protein	undefined	undefined	plasma.membrane
CLINT1	clathrin interactor 1	undefined	Transporter activity (GO:0005215)	undefined	undefined	nucleus; cytosol; Golgi; endosome	endolysosome.system
CLIP1	CAP-Gly domain containing linker protein 1	undefined	Structural molecule activity (GO:0005198)	undefined	ZnF_C2HC	chromatin; cytosol; cytoskeleton; filament; microtubules; endosome	endolysosome.system
CLIP2	CAP-Gly domain containing linker protein 2	undefined	Structural constituent of cytoskeleton (GO:0005200)	undefined	undefined	undefined	undefined
CLIP3	CAP-Gly domain containing linker protein 3	Ankyrin repeat domain containing	Cytoskeletal protein binding (GO:0008092)	undefined	ANK	Golgi; plasma membrane; endosome	endolysosome.system
CLIP4	CAP-Gly domain containing linker protein family member 4	Ankyrin repeat domain containing	Cytoskeletal protein binding (GO:0008092)	undefined	ANK	undefined	undefined
CLK1	CDC like kinase 1	CDC like kinases	Protein threonine/tyrosine kinase activity (GO:0004712)	kinase	S_T_kinase	nucleus	nucleus
CLK2	CDC like kinase 2	CDC like kinases	Protein threonine/tyrosine kinase activity (GO:0004712)	kinase	S_T_kinase	nucleus	nucleus
CLK3	CDC like kinase 3	CDC like kinases	Protein threonine/tyrosine kinase activity (GO:0004712)	kinase	S_T_kinase	nucleus; cytoskeleton; filament	cytoskeleton
CLK4	CDC like kinase 4	CDC like kinases	Protein threonine/tyrosine kinase activity (GO:0004712)	kinase	S_T_kinase	undefined	undefined
CLLU1	chronic lymphocytic leukemia up-regulated 1	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
CLLU1OS	chronic lymphocytic leukemia up-regulated 1 opposite strand	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
CLMN	calmin (calponin-like, transmembrane)	undefined	Molecular function unknown (GO:0005554)	membrane protein	CH, TM	undefined	undefined
CLMP	CXADR-like membrane protein	I-set domain containing|Immunoglobulin-like domain containing	undefined	membrane protein	undefined	cytoskeleton; microtubules	cytoskeleton
CLN3	ceroid-lipofuscinosis, neuronal 3	undefined	Chaperone activity (GO:0003754)	membrane protein	TM	nucleus; endoplasmic reticulum; Golgi; plasma membrane; endosome; lysosome	endolysosome.system
CLN5	ceroid-lipofuscinosis, neuronal 5	undefined	Molecular function unknown (GO:0005554)	membrane protein	TM	endoplasmic reticulum; Golgi; lysosome	endolysosome.system
CLN6	ceroid-lipofuscinosis, neuronal 6, late infantile, variant	undefined	Molecular function unknown (GO:0005554)	membrane protein	TM	nucleus; endoplasmic reticulum	ER.Golgi
CLN8	ceroid-lipofuscinosis, neuronal 8	undefined	Molecular function unknown (GO:0005554)	membrane protein	TM, TLC	endoplasmic reticulum; Golgi	ER.Golgi
CLNK	cytokine dependent hematopoietic cell linker	SH2 domain containing	Receptor signaling complex scaffold activity (GO:0030159)	undefined	SH2	undefined	undefined
CLNS1A	chloride nucleotide-sensitive channel 1A	undefined	Transporter activity (GO:0005215)	undefined	TM	nucleus; cytosol; plasma membrane	plasma.membrane
CLNS1AP1	undefined	undefined	undefined	undefined	undefined	undefined	undefined
CLOCK	clock circadian regulator	Basic helix-loop-helix proteins|K(lysine) acetyltransferases	Transcription factor activity (GO:0003700)	acetyltransferase	PAS, PAC	nucleus; chromatin	nucleus
CLP1	cleavage and polyadenylation factor I subunit 1	undefined	RNA binding (GO:0003723)	RNA processing and splicing protein	undefined	RNA-associated; nucleus	RNA.associated
CLPB	ClpB homolog, mitochondrial AAA ATPase chaperonin	AAA ATPases (ATPases associated with diverse cellular activities)|Ankyrin repeat domain containing|Chaperonins	ATPase activity (GO:0016887)	undefined	ANK, AAA	undefined	undefined
CLPP	caseinolytic mitochondrial matrix peptidase proteolytic subunit	AAA ATPases (ATPases associated with diverse cellular activities)	Peptidase activity (GO:0008233)	undefined	undefined	mitochondria	mitochondria.metabolism
CLPS	colipase	undefined	Lipase activity (GO:0016298)	undefined	undefined	undefined	plasma.membrane
CLPSL1	colipase like 1	undefined	undefined	undefined	undefined	undefined	undefined
CLPSL2	colipase like 2	undefined	undefined	undefined	undefined	undefined	undefined
CLPTM1	cleft lip and palate associated transmembrane protein 1	undefined	Molecular function unknown (GO:0005554)	membrane protein	TM	plasma membrane	plasma.membrane
CLPTM1L	CLPTM1-like	undefined	Molecular function unknown (GO:0005554)	membrane protein	TM	undefined	undefined
CLPX	caseinolytic mitochondrial matrix peptidase chaperone subunit	AAA ATPases (ATPases associated with diverse cellular activities)	Peptidase activity (GO:0008233)	undefined	AAA	nucleus; mitochondria	mitochondria.metabolism
CLRN1	clarin 1	undefined	Molecular function unknown (GO:0005554)	undefined	TM	plasma membrane	plasma.membrane
CLRN2	clarin 2	undefined	Molecular function unknown (GO:0005554)	membrane protein	TM	undefined	undefined
CLRN3	clarin 3	undefined	Molecular function unknown (GO:0005554)	membrane protein	TM	undefined	plasma.membrane
CLSPN	claspin	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	nucleus	nucleus
CLSTN1	calsyntenin 1	Cadherin-related	Calcium ion binding (GO:0005509)	membrane protein	Cadherin, TM	undefined	plasma.membrane
CLSTN2	calsyntenin 2	Cadherin-related	Calcium ion binding (GO:0005509)	membrane protein	Cadherin, TM	nucleus; endoplasmic reticulum; Golgi	ER.Golgi
CLSTN3	calsyntenin 3	Cadherin-related	Calcium ion binding (GO:0005509)	membrane protein	Cadherin	nucleus; endoplasmic reticulum; Golgi	ER.Golgi
CLTA	clathrin light chain A	undefined	Structural molecule activity (GO:0005198)	undefined	undefined	cytosol; Golgi; plasma membrane; endosome	endolysosome.system
CLTB	clathrin light chain B	undefined	Structural molecule activity (GO:0005198)	undefined	undefined	plasma membrane; endosome	endolysosome.system
